	NR	Urban	Undervisning_om_skeive	Oblig_emne	UV	UBU	Andre_temaer	Arr	HP_Arr	Overall_tilfredshet	Overall_behov_KH	Individ_behov_KH	Interesse_KH	Skeiv	Svartid
123	12538596	N	N		-1	-1	1.0	0.0	N	5	6	2	7	N	7 minutter 51 sekunder
124	12540150	N	Y	N	-2	-2	1.0	0.0	N	4	5	4	7	N	4 minutter 57 sekunder
125	12541229	N	IBU		-2	-2	0.0	-2.0	N	2	6	5	6	N	1 minutt 52 sekunder
126	12541271	N	N		-2	-2	0.0	-2.0	N	5	5	3	3	N	5 minutter 5 sekunder
127	12541985	Y	IBU		-1	-1	1.0	-1.0	NG	4	7	5	7	Y	1 minutt 57 sekunder
128	12542316	Y	IBU		0	1	1.0	0.0	N	5	7	6	7	N	3 minutter 41 sekunder
129	12544290	Y	IBU		0	0	0.0	0.0	NG	5	4	4	5	N	2 minutter 1 sekund
130	12546595	Y	N		-1	0	0.0	-1.0	N	4	4	4	4	N	2 minutter 24 sekunder
131	12546629	N	N		0	0	0.0	0.0	Y	5	6	7	7	N	3 minutter 44 sekunder
132	12547493	N	N		-1	-1	-2.0	-2.0	NG	4	2	4	4	N	4 minutter 13 sekunder
133	12548241	Y	IBU		-1	-1	-1.0	0.0	N	4	5	3	7	Y	2 minutter 5 sekunder
134	12549212	N	N		-1	-1	-1.0	-2.0	N	3	5	5	5	N	1 minutt 45 sekunder
135	12549866	N	N		-2	-2	-2.0	-2.0	NG	2	5	5	5	N	1 minutt 40 sekunder
136	12551654	N	N		-1	-1	2.0	0.0	N	3	7	5	7	Y	3 minutter 23 sekunder
137	12553042	Y	N		-1	-1	0.0	-1.0	NG	5	3	3	5	N	3 minutter 27 sekunder
138	12553496	N	N		1	0	1.0	-1.0	N	6	4	4	6	Y	3 minutter 31 sekunder
139	12553910	N	N		-2	-2	1.0	-2.0	N	4	4	4	5	N	3 minutter 40 sekunder
140	12566481	Y	N		1	0	2.0	-1.0	N	7	1	6	2	N	2 minutter 44 sekunder
141	12577591	N	N		-2	-2	1.0	-2.0	N	4	4	4	6	N	1 minutt 59 sekunder
142	12580500	N	N		-2	-2	0.0	-2.0	N	4	4	4	4		3 minutter 1 sekund
143	12585368	N	IBU		-2	-2	-2.0		N	4	4	3	5	N	2 minutter 31 sekunder
144	12590584	Y	IBU		1	-1	2.0	0.0	Y	6	5	3	7	N	1 minutt 58 sekunder
145	12662068	N	IBU		0	0	0.0	0.0	N	5	5	5	6	N	1 minutt 33 sekunder
